target_cbsa,cbsa_code,county_geoid,tract_geoid,year,eligible_v1,gate_pop,gate_price,gate_density,pop_growth_5yr,units_per_1k_3yr,pop_density,price_proxy_pctl,commute_intensity_b,growth_raw,units_raw,headroom_raw,price_raw,commute_raw,z_growth,z_units,z_headroom,z_price,z_commute,contrib_growth,contrib_units,contrib_headroom,contrib_price,contrib_commute,tract_score,tract_rank,why_tags,is_scored
27260,27260,12031,12031013523,2024,0,0,1,1,NA,1961.8099675278836,2639.0332181487624,0.29625,17.683459085624417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013524,2024,0,0,1,1,NA,2338.7191786585877,2429.0743527343625,0.4007142857142857,24.1035370760573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013525,2024,1,1,1,1,NA,1466.0020045365827,2298.623810295461,0.23990384615384616,20.46846091447152,NA,1466.0020045365827,-2298.623810295461,-0.23990384615384616,20.46846091447152,-0.14363030827039658,-0.11763851662647977,-0.7734602114425372,0.9255195182299114,0.11669495155738424,-0.05745212330815863,-0.029409629156619942,-0.15469204228850744,0.09255195182299114,0.005834747577869212,-0.14316709535242567,46,Low density headroom | Moderate price pressure,TRUE
27260,27260,12031,12031013526,2024,0,0,1,0,NA,1113.1538892894337,5376.058288979367,0.5071749084249084,25.021692294294446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013723,2024,1,1,1,1,0.5240572171651495,718.5593132692109,1347.5042861875045,0.6171886446886448,21.02749359236909,0.5240572171651495,718.5593132692109,-1347.5042861875045,-0.6171886446886448,21.02749359236909,3.7897900498699157,-0.702524128579214,0.11668309470926902,-1.059306972559686,0.2193529088285577,1.5159160199479664,-0.1756310321448035,0.023336618941853807,-0.1059306972559686,0.010967645441427885,1.2686585549304759,2,High growth | Low density headroom,TRUE
27260,27260,12031,12031013728,2024,0,1,1,0,NA,1436.4500956220602,3325.5193547350677,0.6463919413919414,19.288203785774474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013729,2024,1,1,1,1,NA,1703.8195083072771,1932.3633238268994,0.5807921245421246,23.659340620483736,NA,1703.8195083072771,-1932.3633238268994,-0.5807921245421246,23.659340620483736,-0.14363030827039658,0.06845740464093078,-0.4306806636841536,-0.8678315204876158,0.7026520976569481,-0.05745212330815863,0.017114351160232695,-0.08613613273683073,-0.08678315204876158,0.03513260488284741,-0.17812445205067082,48,Low density headroom | High commute exposure,TRUE
27260,27260,12031,12031013730,2024,0,0,1,1,NA,2664.269964528808,2279.091687568179,0.6213507326007326,21.7948160242129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013731,2024,0,1,1,0,NA,2368.0129516019083,3903.3163777846216,0.5630860805860806,22.267363945578232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013732,2024,0,0,1,1,NA,1667.3266138708902,1103.1364657426686,0.3575320512820513,16.97901152254365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
